date,price
08/2010,0.1
09/2010,0.1
10/2010,0.2
11/2010,0.2
12/2010,0.3
01/2011,0.5
02/2011,0.9
03/2011,0.8
04/2011,3.5
05/2011,8.7
06/2011,16.1
07/2011,13.4
08/2011,8.2
09/2011,5.1
10/2011,3.3
11/2011,3.0
12/2011,4.7
01/2012,5.5
02/2012,4.9
03/2012,4.9
04/2012,4.9
05/2012,5.2
06/2012,6.7
07/2012,9.4
08/2012,10.2
09/2012,12.4
10/2012,11.2
11/2012,12.6
12/2012,13.5
01/2013,20.4
02/2013,33.4
03/2013,93.0
04/2013,139.2
05/2013,128.8
06/2013,97.5
07/2013,106.2
08/2013,141.0
09/2013,141.9
10/2013,211.2
11/2013,1205.7
12/2013,805.9
01/2014,938.8
02/2014,573.9
03/2014,444.7
04/2014,445.6
05/2014,627.9
06/2014,635.1
07/2014,589.5
08/2014,481.8
09/2014,388.2
10/2014,337.9
11/2014,374.9
12/2014,318.2
01/2015,218.5
02/2015,254.1
03/2015,244.1
04/2015,235.8
05/2015,229.8
06/2015,264.1
07/2015,283.7
08/2015,229.5
09/2015,235.9
10/2015,311.2
11/2015,378.0
12/2015,430.0
01/2016,369.8
02/2016,436.2
03/2016,415.7
04/2016,448.5
05/2016,528.9
06/2016,670.0
07/2016,621.9
08/2016,573.9
09/2016,608.1
10/2016,698.7
11/2016,742.5
12/2016,963.4
01/2017,965.5
02/2017,1189.3
03/2017,1079.1
04/2017,1351.9
05/2017,2303.3
06/2017,2480.6
07/2017,2883.3
08/2017,4735.1
09/2017,4360.6
10/2017,6451.2
11/2017,9946.8
12/2017,13850.4
01/2018,10265.4
02/2018,10333.9
03/2018,6938.2
04/2018,9245.1
05/2018,7502.6
06/2018,6398.9
07/2018,7729.4
08/2018,7033.8
09/2018,6635.2
10/2018,6365.9
11/2018,4039.7
12/2018,3709.4
01/2019,3437.2
02/2019,3816.6
03/2019,4102.3
04/2019,5320.8
05/2019,8558.3
06/2019,10818.6
07/2019,10082.0
08/2019,9594.4
09/2019,8284.3
10/2019,9152.6
11/2019,7546.6
12/2019,7196.4
01/2020,9349.1
02/2020,8543.7
03/2020,6412.5
04/2020,8629.0
05/2020,9454.8
06/2020,9135.4
07/2020,11333.4
08/2020,11644.2
09/2020,10776.1
10/2020,13797.3
11/2020,19698.1
12/2020,28949.4
01/2021,33108.1
02/2021,45164.0
03/2021,58763.7
04/2021,57720.3
05/2021,37298.6
06/2021,35026.9
07/2021,41553.7
08/2021,47130.4
09/2021,43823.3
10/2021,61309.6
11/2021,56882.9
12/2021,46219.5
01/2022,38498.6
02/2022,43188.2
03/2022,45525.0
04/2022,37650.0
05/2022,31793.4
06/2022,19926.6
07/2022,23303.4
08/2022,20043.9
09/2022,19423.0
10/2022,20496.3
11/2022,17163.9
12/2022,16537.4
01/2023,23125.1
02/2023,23130.5
03/2023,28473.7
04/2023,29252.1
05/2023,27216.1
06/2023,30472.9
07/2023,29232.4
08/2023,25937.3
09/2023,26962.7
10/2023,34650.6
11/2023,37712.9
12/2023,42272.5
01/2024,42580.5
02/2024,61169.3
03/2024,71332.0
04/2024,60666.6
05/2024,67530.1
06/2024,62754.3
07/2024,64626.0
08/2024,58978.6
09/2024,63339.2
10/2024,70281.8
11/2024,96405.7
12/2024,93557.2
01/2025,94536.1
02/2025,84381.2
03/2025,82548.8
04/2025,94184.4
05/2025,104598.0
06/2025,107171.1
07/2025,115765.0
08/2025,108226.8
09/2025,114048.5
10/2025,109602.8
11/2025,102813.6
