date,price
01/1978,207.8
02/1978,227.3
03/1978,245.7
04/1978,242.1
05/1978,239.2
06/1978,257.6
07/1978,279.1
08/1978,294.7
09/1978,300.8
10/1978,355.1
11/1978,391.7
12/1978,392.0
01/1979,455.1
02/1979,675.3
03/1979,665.3
04/1979,553.6
05/1979,517.4
06/1979,513.8
07/1979,600.7
08/1979,644.3
09/1979,627.2
10/1979,673.6
11/1979,661.2
12/1979,623.5
01/1980,594.9
02/1980,557.4
03/1980,499.8
04/1980,498.8
05/1980,495.8
06/1980,479.7
07/1980,460.8
08/1980,409.3
09/1980,410.2
10/1980,443.8
11/1980,437.8
12/1980,413.4
01/1981,410.1
02/1981,384.1
03/1981,374.1
04/1981,330.3
05/1981,350.3
06/1981,333.8
07/1981,315.0
08/1981,339.0
09/1981,364.2
10/1981,437.3
11/1981,422.2
12/1981,414.9
01/1982,444.3
02/1982,481.3
03/1982,491.2
04/1982,419.7
05/1982,432.9
06/1982,438.0
07/1982,412.8
08/1982,422.7
09/1982,416.2
10/1982,411.8
11/1982,393.6
12/1982,381.7
01/1983,388.3
02/1983,370.9
03/1983,385.9
04/1983,394.3
05/1983,381.4
06/1983,377.4
07/1983,377.7
08/1983,347.5
09/1983,347.7
10/1983,341.1
11/1983,340.2
12/1983,341.2
01/1984,320.2
02/1984,302.8
03/1984,299.1
04/1984,303.9
05/1984,325.3
06/1984,316.4
07/1984,316.5
08/1984,317.2
09/1984,329.8
10/1984,323.4
11/1984,325.8
12/1984,325.3
01/1985,321.9
02/1985,345.4
03/1985,338.9
04/1985,345.7
05/1985,340.4
06/1985,342.4
07/1985,342.7
08/1985,348.3
09/1985,376.6
10/1985,417.7
11/1985,423.5
12/1985,397.6
01/1986,390.9
02/1986,408.3
03/1986,401.1
04/1986,408.9
05/1986,438.4
06/1986,460.2
07/1986,449.6
08/1986,450.5
09/1986,461.2
10/1986,460.4
11/1986,465.4
12/1986,467.6
01/1987,486.2
02/1987,476.6
03/1987,442.1
04/1987,443.6
05/1987,451.6
06/1987,451.1
07/1987,451.3
08/1987,437.6
09/1987,431.3
10/1987,413.5
11/1987,406.8
12/1987,420.2
01/1988,419.1
02/1988,404.0
03/1988,387.5
04/1988,390.2
05/1988,384.4
06/1988,371.1
07/1988,367.6
08/1988,375.0
09/1988,365.1
10/1988,361.8
11/1988,366.9
12/1988,394.3
01/1989,409.4
02/1989,410.1
03/1989,416.8
04/1989,393.1
05/1989,374.2
06/1989,369.1
07/1989,352.3
08/1989,362.5
09/1989,394.7
10/1989,389.3
11/1989,380.7
12/1989,381.7
01/1990,377.0
02/1990,383.6
03/1990,363.8
04/1990,363.3
05/1990,358.4
06/1990,357.0
07/1990,366.7
08/1990,367.7
09/1990,356.3
10/1990,348.7
11/1990,358.7
12/1990,360.2
01/1991,361.7
02/1991,354.5
03/1991,353.9
04/1991,344.3
05/1991,338.6
06/1991,337.2
07/1991,340.8
08/1991,352.7
09/1991,343.1
10/1991,345.4
11/1991,344.4
12/1991,335.0
01/1992,334.8
02/1992,329.0
03/1992,329.3
04/1992,330.1
05/1992,342.2
06/1992,367.2
07/1992,371.9
08/1992,392.2
09/1992,378.8
10/1992,355.3
11/1992,364.2
12/1992,373.8
01/1993,383.3
02/1993,386.9
03/1993,381.9
04/1993,384.1
05/1993,377.3
06/1993,381.4
07/1993,385.6
08/1993,385.5
09/1993,380.4
10/1993,391.6
11/1993,389.8
12/1993,384.4
01/1994,379.3
02/1994,378.6
03/1994,376.6
04/1994,382.1
05/1994,391.0
06/1994,385.2
07/1994,387.6
08/1994,386.2
09/1994,383.7
10/1994,383.1
11/1994,383.1
12/1994,385.3
01/1995,387.4
02/1995,399.5
03/1995,404.8
04/1995,396.2
05/1995,392.9
06/1995,391.9
07/1995,385.3
08/1995,383.5
09/1995,387.3
10/1995,383.2
11/1995,381.1
12/1995,377.9
01/1996,369.0
02/1996,355.1
03/1996,346.6
04/1996,351.8
05/1996,344.5
06/1996,343.8
07/1996,340.8
08/1996,324.1
09/1996,324.0
10/1996,322.8
11/1996,324.9
12/1996,306.0
01/1997,288.7
02/1997,289.1
03/1997,297.5
04/1997,295.9
05/1997,308.3
06/1997,299.1
07/1997,292.3
08/1997,292.9
09/1997,284.1
10/1997,289.0
11/1997,295.9
12/1997,294.1
01/1998,291.7
02/1998,287.1
03/1998,287.3
04/1998,286.0
05/1998,282.6
06/1998,276.4
07/1998,261.3
08/1998,256.1
09/1998,256.7
10/1998,264.7
11/1998,310.7
12/1998,293.2
01/1999,287.1
02/1999,287.3
03/1999,286.0
04/1999,282.6
05/1999,276.4
06/1999,261.3
07/1999,256.1
08/1999,256.7
09/1999,264.7
10/1999,310.7
11/1999,293.2
12/1999,283.1
01/2000,284.3
02/2000,299.9
03/2000,286.4
04/2000,279.7
05/2000,275.2
06/2000,285.7
07/2000,281.6
08/2000,274.5
09/2000,273.7
10/2000,270.0
11/2000,266.0
12/2000,271.5
01/2001,265.5
02/2001,261.9
03/2001,263.0
04/2001,260.5
05/2001,272.4
06/2001,270.2
07/2001,267.5
08/2001,272.4
09/2001,283.4
10/2001,283.1
11/2001,276.2
12/2001,275.9
01/2002,281.5
02/2002,295.5
03/2002,294.1
04/2002,302.7
05/2002,314.5
06/2002,321.2
07/2002,313.3
08/2002,310.3
09/2002,319.1
10/2002,316.6
11/2002,319.1
12/2002,331.9
01/2003,356.9
02/2003,359.0
03/2003,340.6
04/2003,328.2
05/2003,355.7
06/2003,356.4
07/2003,351.0
08/2003,359.8
09/2003,379.0
10/2003,378.9
11/2003,389.9
12/2003,407.0
01/2004,413.8
02/2004,404.9
03/2004,406.7
04/2004,403.3
05/2004,383.8
06/2004,392.4
07/2004,398.1
08/2004,400.5
09/2004,405.3
10/2004,420.5
11/2004,439.4
12/2004,442.1
01/2005,424.0
02/2005,423.4
03/2005,434.3
04/2005,429.2
05/2005,421.9
06/2005,430.7
07/2005,424.5
08/2005,437.9
09/2005,456.1
10/2005,469.9
11/2005,476.7
12/2005,510.1
01/2006,549.9
02/2006,555.0
03/2006,557.1
04/2006,610.7
05/2006,675.4
06/2006,596.2
07/2006,633.7
08/2006,632.6
09/2006,598.2
10/2006,585.8
11/2006,627.8
12/2006,629.8
01/2007,631.2
02/2007,664.8
03/2007,654.9
04/2007,679.4
05/2007,666.9
06/2007,655.5
07/2007,665.3
08/2007,665.4
09/2007,712.7
10/2007,754.6
11/2007,806.3
12/2007,803.2
01/2008,889.6
02/2008,922.3
03/2008,968.4
04/2008,909.7
05/2008,888.7
06/2008,889.5
07/2008,939.8
08/2008,839.0
09/2008,829.9
10/2008,806.6
11/2008,760.9
12/2008,816.1
01/2009,858.7
02/2009,943.2
03/2009,924.3
04/2009,890.2
05/2009,928.6
06/2009,945.7
07/2009,934.2
08/2009,949.4
09/2009,996.6
10/2009,1043.2
11/2009,1127.0
12/2009,1134.7
01/2010,1118.0
02/2010,1095.4
03/2010,1113.3
04/2010,1148.7
05/2010,1205.4
06/2010,1232.9
07/2010,1193.0
08/2010,1215.8
09/2010,1271.0
10/2010,1342.0
11/2010,1369.9
12/2010,1390.6
01/2011,1356.4
